0 55 7.0013e-08 6.9878e-08 1.66532e-08 -4.57626e-08 -1.53508e-09  6.05042
0 56 6.63922e-08 6.60727e-08 1.16095e-08 -4.51382e-08 -1.34328e-09  6.28601
0 57 5.80509e-08 5.76534e-08 1.05989e-08 -3.95036e-08 -1.03655e-09  6.39603
0 58 4.50452e-08 4.47304e-08 1.37434e-08 -2.89285e-08 -7.15363e-10  6.40488
0 59 2.95417e-08 2.93574e-08 1.2495e-08 -1.64444e-08 -3.72024e-10  6.32174
0 60 1.70149e-08 1.69299e-08 9.2891e-09 -6.70309e-09 -1.28432e-10  6.39602
0 61 8.27743e-09 8.25141e-09 5.57818e-09 -9.52269e-10 9.78098e-12  6.4933
0 62 3.8274e-09 3.82354e-09 2.89174e-09 5.11189e-10 3.66054e-11  6.58478
0 63 3.1586e-09 3.1611e-09 2.09096e-09 -3.45732e-10 1.3202e-11  6.62023
0 64 5.62494e-09 5.63381e-09 2.5498e-09 -3.09059e-09 -4.99939e-11  6.62469
0 65 1.27024e-08 1.27099e-08 3.37772e-09 -9.603e-09 -1.87031e-10  6.61743
0 66 2.27297e-08 2.27256e-08 1.86284e-09 -1.8884e-08 -3.93455e-10  6.60235
0 67 3.17283e-08 3.17023e-08 -3.21731e-09 -2.68122e-08 -6.52505e-10  6.58237
0 68 3.65561e-08 3.65063e-08 -9.33792e-09 -2.97015e-08 -8.86557e-10  6.57185
0 69 3.78335e-08 3.77719e-08 -1.33345e-08 -2.85649e-08 -1.01183e-09  6.49935
0 70 3.77581e-08 3.76904e-08 -1.38369e-08 -2.68611e-08 -1.0251e-09  6.36081
0 71 3.72712e-08 3.71907e-08 -1.20694e-08 -2.59849e-08 -9.64872e-10  6.08829
0 72 3.67141e-08 3.66138e-08 -6.65107e-09 -2.70734e-08 -8.59433e-10  5.83291
0 73 3.68298e-08 3.67161e-08 -3.03843e-09 -2.8333e-08 -7.60384e-10  5.56288
0 74 3.65483e-08 3.64268e-08 1.10546e-09 -2.91905e-08 -6.58915e-10  5.40875
0 75 3.33881e-08 3.32729e-08 5.49669e-09 -2.6957e-08 -5.2057e-10  5.46385
0 76 2.68395e-08 2.67435e-08 7.79146e-09 -2.12805e-08 -3.40699e-10  5.53368
0 77 1.59065e-08 1.58473e-08 6.6555e-09 -1.19247e-08 -1.54909e-10  5.54674
0 78 6.2766e-09 6.25149e-09 3.72677e-09 -3.62195e-09 -4.20768e-11  5.66318
0 79 4.7991e-09 4.78317e-09 3.72447e-09 -3.47116e-10 -1.21244e-11  5.98456
0 80 5.80719e-09 5.79663e-09 4.24757e-09 1.75797e-09 1.23152e-11  6.11034
0 81 7.03253e-09 7.02524e-09 4.68752e-09 3.18303e-09 3.89029e-11  6.18286
0 82 7.54495e-09 7.53911e-09 5.01363e-09 3.57581e-09 5.6043e-11  6.24466
0 83 7.87936e-09 7.87433e-09 5.47283e-09 3.47772e-09 6.8066e-11  6.22863
0 84 9.30659e-09 9.3027e-09 6.72312e-09 3.53723e-09 9.38642e-11  6.13895
0 85 1.25431e-08 1.25411e-08 9.079e-09 4.52703e-09 1.50519e-10  6.05017
0 86 1.8337e-08 1.83368e-08 1.36121e-08 6.15594e-09 2.48222e-10  5.86736
0 87 2.59706e-08 2.597e-08 2.01294e-08 6.67429e-09 3.66985e-10  5.67011
0 88 3.42105e-08 3.421e-08 2.74207e-08 6.04856e-09 4.97762e-10  5.51739
0 89 4.11491e-08 4.11527e-08 3.37538e-08 4.29893e-09 6.17389e-10  5.39213
0 90 4.31672e-08 4.31789e-08 3.56489e-08 -1.87772e-10 6.56396e-10  5.40448
0 91 3.91507e-08 3.91748e-08 3.20039e-08 1.12455e-09 5.84293e-10  5.30217
0 92 3.27555e-08 3.27885e-08 2.63944e-08 2.24052e-09 4.68516e-10  5.31565
0 93 2.71009e-08 2.71392e-08 2.17146e-08 2.44334e-09 3.74457e-10  5.20254
0 94 2.17505e-08 2.17901e-08 1.77715e-08 1.91168e-09 2.99834e-10  5.05714
0 95 1.69191e-08 1.69573e-08 1.42146e-08 1.42758e-09 2.35817e-10  4.96399
0 96 1.2848e-08 1.28832e-08 1.11497e-08 9.76993e-10 1.81517e-10  4.84755
0 97 9.77295e-09 9.80442e-09 8.76866e-09 -3.41586e-10 1.39451e-10  4.65017
0 98 7.1544e-09 7.18096e-09 6.36283e-09 -1.38614e-09 1.01411e-10  4.39142
0 99 5.40291e-09 5.42605e-09 4.62025e-09 -1.766e-09 7.61272e-11  4.34981
0 100 4.34751e-09 4.36872e-09 3.488e-09 -1.93163e-09 6.10044e-11  4.50692
0 101 3.63371e-09 3.65367e-09 2.72306e-09 -1.92876e-09 5.11769e-11  4.65915
0 102 3.10598e-09 3.12495e-09 2.27014e-09 -1.73668e-09 4.44787e-11  4.82594
0 103 2.67383e-09 2.69177e-09 1.85177e-09 -1.62357e-09 3.86328e-11  5.072
0 104 2.30221e-09 2.31895e-09 1.63575e-09 -1.34439e-09 3.32417e-11  5.17704
0 105 2.03947e-09 2.0554e-09 1.46038e-09 -1.16377e-09 2.92667e-11  5.23448
0 106 1.92092e-09 1.93472e-09 1.34063e-09 -1.11473e-09 2.71354e-11  5.24944
0 107 1.82496e-09 1.83256e-09 1.18314e-09 -1.09417e-09 2.51355e-11  5.20254
0 108 1.52484e-09 1.52593e-09 8.74334e-10 -9.15827e-10 2.00971e-11  5.13853
0 109 1.32986e-09 1.32682e-09 6.48924e-10 -7.74227e-10 1.67455e-11  5.06508
0 110 1.22455e-09 1.22048e-09 5.00799e-10 -6.86439e-10 1.51928e-11  4.96173
0 111 1.1761e-09 1.17261e-09 3.96385e-10 -6.54027e-10 1.48865e-11  4.87734
0 112 9.19852e-10 9.17758e-10 2.33348e-10 -4.64622e-10 1.12577e-11  4.72908
0 113 7.3114e-10 7.29934e-10 1.20972e-10 -3.5389e-10 8.98898e-12  4.56889
0 114 6.34436e-10 6.33686e-10 3.45088e-11 -3.16029e-10 8.30646e-12  4.49912
0 115 4.37607e-10 4.37331e-10 -3.3182e-11 -2.04599e-10 5.88403e-12  4.50008
0 116 2.77546e-10 2.77505e-10 -5.2659e-11 -1.36697e-10 4.0354e-12  4.53866
0 117 1.7796e-10 1.77991e-10 -5.54877e-11 -9.88085e-11 2.9032e-12  4.74176
0 118 1.01357e-10 1.01406e-10 -4.31263e-11 -6.27091e-11 1.84828e-12  4.77511
0 119 5.75999e-11 5.76576e-11 -3.34881e-11 -3.3911e-11 1.1669e-12  4.78629
0 120 3.5857e-11 3.59182e-11 -2.64274e-11 -1.61715e-11 7.75786e-13  4.73469
0 121 2.69629e-11 2.70321e-11 -2.29816e-11 -6.1416e-12 5.81584e-13  4.66771
0 122 2.7483e-11 2.75735e-11 -2.47845e-11 -6.74385e-13 5.55229e-13  4.70888
0 123 3.685e-11 3.69875e-11 -3.36091e-11 3.10393e-12 6.73312e-13  4.95128
0 124 5.51331e-11 5.53519e-11 -4.94014e-11 1.14493e-11 9.07513e-13  5.22417
0 125 7.22022e-11 7.25018e-11 -6.24719e-11 2.18031e-11 1.09772e-12  5.58221
0 126 7.07922e-11 7.10964e-11 -6.04081e-11 2.21655e-11 1.01532e-12  5.97341
0 127 4.85711e-11 4.87877e-11 -3.99387e-11 1.68728e-11 6.59006e-13  6.0941
0 128 2.70352e-11 2.716e-11 -2.17007e-11 9.38342e-12 3.47952e-13  6.06411
0 129 1.50825e-11 1.51543e-11 -1.26086e-11 3.42737e-12 1.78729e-13  5.97205
0 130 9.30365e-12 9.34966e-12 -8.04011e-12 -2.71802e-13 9.52322e-14  5.79814
0 131 9.19304e-12 9.23944e-12 -7.74476e-12 -2.23722e-12 7.86128e-14  5.58716
0 132 1.17269e-11 1.17871e-11 -9.62852e-12 -3.94212e-12 9.01864e-14  5.27697
0 133 1.41961e-11 1.42713e-11 -1.14548e-11 -5.4416e-12 1.00865e-13  4.97583
0 134 1.66908e-11 1.6782e-11 -1.33781e-11 -6.65732e-12 1.13392e-13  4.72128
0 135 2.00716e-11 2.01835e-11 -1.61208e-11 -7.97652e-12 1.35453e-13  4.49127
0 136 2.35892e-11 2.3727e-11 -1.91859e-11 -8.82153e-12 1.60262e-13  4.32258
0 137 2.65841e-11 2.6747e-11 -2.18486e-11 -9.34821e-12 1.79851e-13  4.21568
0 138 2.76924e-11 2.78664e-11 -2.28253e-11 -1.02308e-11 1.86571e-13  4.13772
0 139 2.90802e-11 2.92687e-11 -2.41364e-11 -1.08214e-11 1.95042e-13  4.0641
0 140 3.1138e-11 3.1347e-11 -2.62433e-11 -1.10328e-11 2.06659e-13  4.04341
0 141 3.40219e-11 3.4258e-11 -2.91332e-11 -1.12798e-11 2.25255e-13  3.99707
0 142 3.7129e-11 3.73935e-11 -3.21539e-11 -1.16094e-11 2.45607e-13  3.9848
0 143 3.92482e-11 3.95346e-11 -3.43091e-11 -1.15313e-11 2.57847e-13  3.9168
0 144 4.17819e-11 4.20953e-11 -3.6973e-11 -1.11957e-11 2.70318e-13  3.93388
0 145 4.48926e-11 4.52357e-11 -3.99999e-11 -1.13447e-11 2.83868e-13  3.91038
0 146 4.56892e-11 4.60448e-11 -4.09145e-11 -1.08575e-11 2.83272e-13  3.93638
0 147 4.52199e-11 4.558e-11 -4.07977e-11 -9.60503e-12 2.77387e-13  3.90363
0 148 4.46073e-11 4.49719e-11 -4.04483e-11 -8.566e-12 2.67703e-13  3.86425
0 149 4.19416e-11 4.22933e-11 -3.81742e-11 -7.26966e-12 2.44736e-13  3.91862
0 150 3.78899e-11 3.82137e-11 -3.4596e-11 -5.84596e-12 2.14415e-13  3.87154
0 151 3.5262e-11 3.55687e-11 -3.23293e-11 -4.60146e-12 1.92298e-13  3.8961
0 152 3.31374e-11 3.34318e-11 -3.05247e-11 -3.33171e-12 1.74726e-13  3.91244
0 153 2.79935e-11 2.8246e-11 -2.58483e-11 -1.82202e-12 1.44225e-13  3.83565
0 154 2.3727e-11 2.39432e-11 -2.19497e-11 -7.35682e-13 1.19498e-13  3.80029
0 155 2.03013e-11 2.04826e-11 -1.8817e-11 3.51255e-13 1.00168e-13  3.6895
0 156 1.64112e-11 1.6559e-11 -1.51922e-11 8.23119e-13 7.82748e-14  3.53702
0 157 1.28273e-11 1.29432e-11 -1.1842e-11 1.18026e-12 6.11373e-14  3.37451
0 158 1.00498e-11 1.01352e-11 -9.19575e-12 1.57589e-12 4.76352e-14  3.19005
0 159 8.20833e-12 8.27493e-12 -7.42178e-12 1.71201e-12 3.79113e-14  2.95271

1 0 4.93141e-12 4.89437e-12 4.56679e-12 2.10718e-13 3.34312e-15  3.14913
1 1 2.48224e-12 2.46422e-12 2.29107e-12 1.86982e-13 1.55655e-15  3.19331
1 2 7.90511e-13 7.85188e-13 7.18828e-13 1.10776e-13 5.10812e-16  3.25319
1 3 2.36995e-13 2.35732e-13 1.95775e-13 5.06414e-14 3.99457e-16  3.19125
1 4 1.58536e-13 1.57597e-13 1.32243e-13 -2.16709e-15 -1.40806e-17  3.16912
1 5 2.14631e-13 2.13289e-13 1.79535e-13 -4.4869e-14 -1.92437e-16  3.11835
1 6 2.36106e-12 2.34449e-12 2.12055e-12 -5.41384e-13 1.84092e-15  3.14537
